msa,Geo_NAME,pop
33580,Mitchell,23313
38180,Pierre,20618
39660,Rapid City,140653
43580,Sioux City,15659
43620,Sioux Falls,264437
43940,Spearfish,25806
46820,Vermillion,14076
47980,Watertown,34237
49460,Yankton,22746
11940,Athens,53392
15140,Brownsville,17391
16860,Chattanooga,408293
17300,Clarksville,218545
17420,Cleveland,123731
18260,Cookeville,112480
18900,Crossville,60016
19420,Dayton,32964
20540,Dyersburg,37201
24620,Greeneville,69077
27180,Jackson,178601
27740,Johnson City,203147
28700,Kingsport-Bristol,214442
28940,Knoxville,861872
29980,Lawrenceburg,43780
30280,Lewisburg,33708
32280,Martin,33377
32660,McMinnville,40971
32820,Memphis,1038785
34100,Morristown,141909
34980,Nashville-Davidson--Murfreesboro--Franklin,1904186
35460,Newport,35797
37540,Paris,32251
42940,Sevierville,98007
43180,Shelbyville,48937
46100,Tullahoma-Manchester,104419
46460,Union City,30343
10180,Abilene,171354
10860,Alice,51990
11100,Amarillo,264345
11380,Andrews,18227
11980,Athens,81969
12420,Austin-Round Rock-Georgetown,2173804
13060,Bay City,36791
13140,Beaumont-Port Arthur,394268
13300,Beeville,32609
13700,Big Spring,36213
14300,Bonham,35046
14420,Borger,21105
14780,Brenham,35275
15180,Brownsville-Harlingen,422135
15220,Brownwood,37805
17780,College Station-Bryan,261701
18580,Corpus Christi,429120
18620,Corsicana,49475
19100,Dallas-Fort Worth-Arlington,7451858
19620,Del Rio,49018
20300,Dumas,21169
20580,Eagle Pass,58098
20900,El Campo,41672
21340,El Paso,841602
23240,Fredericksburg,26668
23620,Gainesville,40428
24180,Granbury,60025
25820,Hereford,18617
26420,Houston-The Woodlands-Sugar Land,6979613
26660,Huntsville,72295
27380,Jacksonville,52341
28500,Kerrville,52195
28660,Killeen-Temple,452428
28780,Kingsville,31116
29500,Lamesa,12849
29700,Laredo,274847
30220,Levelland,22986
30980,Longview,285554
31180,Lubbock,320031
31260,Lufkin,87119
32580,McAllen-Edinburg-Mission,861137
33260,Midland,176914
33420,Mineral Wells,28792
34420,Mount Pleasant,45647
34860,Nacogdoches,65080
36220,Odessa,162067
37300,Palestine,57917
37420,Pampa,22847
37580,Paris,49705
37770,Pearsall,20013
37780,Pecos,15663
38380,Plainview,33463
38920,Port Lavaca,21470
39700,Raymondville,21419
40100,Rio Grande City-Roma,64032
40530,Rockport,24220
41660,San Angelo,121472
41700,San Antonio-New Braunfels,2510211
43300,Sherman-Denison,133527
43660,Snyder,16918
44500,Stephenville,42226
44860,Sulphur Springs,36708
45020,Sweetwater,14901
45500,Texarkana,93622
46340,Tyler,230184
46620,Uvalde,26899
46900,Vernon,12717
47020,Victoria,99622
47380,Waco,271326
48660,Wichita Falls,151352
49820,Zapata,14243
16260,Cedar City,53148
25720,Heber,74733
30860,Logan,126336
36260,Ogden-Clearfield,672948
39220,Price,20401
39340,Provo-Orem,633129
41100,St. George,172127
41620,Salt Lake City,1215955
46860,Vernal,35736
12740,Barre,58336
13540,Bennington,35649
15540,Burlington-South Burlington,219764
30100,Lebanon,84064
40860,Rutland,58527
13720,Big Stone Gap,42001
13980,Blacksburg-Christiansburg,167201
14140,Bluefield,47535
16820,Charlottesville,217455
19260,Danville,101535
25500,Harrisonburg,134696
28700,Kingsport-Bristol,92825
31340,Lynchburg,262937
32300,Martinsville,63678
40060,Richmond,1282067
40220,Roanoke,313289
44420,Staunton,122714
47260,Virginia Beach-Norfolk-Newport News,1719573
47900,Washington-Arlington-Alexandria,3023704
49020,Winchester,115966
10140,Aberdeen,73769
13380,Bellingham,224538
14740,Bremerton-Silverdale-Port Orchard,268945
16500,Centralia,79430
21260,Ellensburg,47097
28420,Kennewick-Richland,294396
30300,Lewiston,22636
31020,Longview,108399
34180,Moses Lake,96648
34580,Mount Vernon-Anacortes,127442
36020,Oak Harbor,84187
36500,Olympia-Lacey-Tumwater,284698
36830,Othello,19702
38820,Port Angeles,76482
38900,Portland-Vancouver-Hillsboro,493856
39420,Pullman,49577
42660,Seattle-Tacoma-Bellevue,3928498
43220,Shelton,65326
44060,Spokane-Spokane Valley,558635
47460,Walla Walla,60785
48300,Wenatchee,119173
49420,Yakima,250649
13220,Beckley,117539
14140,Bluefield,59370
16620,Charleston,260920
17220,Clarksburg,92936
19060,Cumberland,27047
21180,Elkins,28763
21900,Fairmont,56233
25180,Hagerstown-Martinsburg,135415
26580,Huntington-Ashland,189884
34060,Morgantown,139806
34350,Mount Gay-Shamrock,32593
37620,Parkersburg-Vienna,90151
38580,Point Pleasant,26700
47900,Washington-Arlington-Alexandria,56922
48260,Weirton-Steubenville,51280
48540,Wheeling,72775
49020,Winchester,23304
11540,Appleton,236834
12660,Baraboo,64152
13180,Beaver Dam,87569
16980,Chicago-Naperville-Elgin,168998
20260,Duluth,43497
20740,Eau Claire,168307
22540,Fond du Lac,102654
24580,Green Bay,320827
27020,Iron Mountain,4312
27500,Janesville-Beloit,162532
29100,La Crosse-Onalaska,118168
31540,Madison,660212
31820,Manitowoc,78977
31940,Marinette,40312
32860,Menomonie,45029
33340,Milwaukee-Waukesha,1576525
33460,Minneapolis-St. Paul-Bloomington,132038
36780,Oshkosh-Neenah,170924
38420,Platteville,51570
39540,Racine,195859
43020,Shawano,45379
43100,Sheboygan,115152
44620,Stevens Point,70822
48020,Watertown-Fort Atkinson,84837
48140,Wausau-Weston,163172
48580,Whitewater,103391
49220,Wisconsin Rapids-Marshfield,72892
16220,Casper,80067
16940,Cheyenne,99272
21740,Evanston,20374
23940,Gillette,61402
27220,Jackson,23356
29660,Laramie,38664
40180,Riverton,39711
40540,Rock Springs,43352
43260,Sheridan,30397
10380,Aguadilla-Isabela,295172
11640,Arecibo,177570
17620,Coamo,38603
17640,Coco,27638
25020,Guayama,74291
27580,Jayuya,14239
32420,Mayagüez,97198
38660,Ponce,220601
41900,San Germán,123319
41980,San Juan-Bayamón-Caguas,2061555
42180,Santa Isabel,21474
49500,Yauco,88203
