msa_title,msa,pop
"Lebanon, MO Micro Area; Missouri",30060,36245
"Marshall, MO Micro Area; Missouri",32180,23177
"Maryville, MO Micro Area; Missouri",32340,20959
"Mexico, MO Micro Area; Missouri",33020,24688
"Moberly, MO Micro Area; Missouri",33620,24524
"Poplar Bluff, MO Micro Area; Missouri",38740,42166
"Quincy, IL-MO Micro Area (part); Missouri",39500,9945
"Rolla, MO Micro Area; Missouri",40620,44948
"St. Joseph, MO-KS Metro Area (part); Missouri",41140,113117
"St. Louis, MO-IL Metro Area (part); Missouri",41180,2131203
"Sedalia, MO Micro Area; Missouri",42740,43205
"Sikeston, MO Micro Area; Missouri",43460,50046
"Springfield, MO Metro Area; Missouri",44180,481671
"Warrensburg, MO Micro Area; Missouri",47660,54331
"West Plains, MO Micro Area; Missouri",48460,40168
"Billings, MT Metro Area; Montana",13740,187269
"Bozeman, MT Metro Area; Montana",14580,122194
"Butte-Silver Bow, MT Micro Area; Montana",15580,35589
"Great Falls, MT Metro Area; Montana",24500,84601
"Helena, MT Metro Area; Montana",25740,92391
"Kalispell, MT Micro Area; Montana",28060,108445
"Missoula, MT Metro Area; Montana",33540,124435
"Beatrice, NE Micro Area; Nebraska",13100,21646
"Columbus, NE Micro Area; Nebraska",18100,44899
"Fremont, NE Micro Area; Nebraska",23340,37146
"Grand Island, NE Metro Area; Nebraska",24260,76619
"Hastings, NE Micro Area; Nebraska",25580,40503
"Kearney, NE Micro Area; Nebraska",28260,57020
"Lexington, NE Micro Area; Nebraska",30420,25949
"Lincoln, NE Metro Area; Nebraska",30700,341309
"Norfolk, NE Micro Area; Nebraska",35740,48682
"North Platte, NE Micro Area; Nebraska",35820,34934
"Omaha, NE-IA Metro Area (part); Nebraska",36540,850225
"Scottsbluff, NE Micro Area; Nebraska",42420,36594
"Sioux City, IA-NE-SD Metro Area (part); Nebraska",43580,21331
"Carson City, NV Metro Area; Nevada",16180,58364
"Elko, NV Micro Area; Nevada",21220,55512
"Fallon, NV Micro Area; Nevada",21980,25614
"Gardnerville Ranchos, NV-CA Micro Area (part); Nevada",23820,49624
"Las Vegas-Henderson-North Las Vegas, NV Metro Area; Nevada",29820,2293764
"Pahrump, NV Micro Area; Nevada",37220,53207
"Reno, NV Metro Area; Nevada",39900,556539
"Winnemucca, NV Micro Area; Nevada",49080,17299
"Boston-Cambridge-Newton, MA-NH Metro Area (part); New Hampshire",14460,448906
"Concord, NH Micro Area; New Hampshire",18180,155018
"Keene, NH Micro Area; New Hampshire",28300,76945
"Laconia, NH Micro Area; New Hampshire",29060,64300
"Lebanon-Claremont, NH-VT Micro Area (part); New Hampshire",30150,135288
"Manchester-Nashua, NH Metro Area; New Hampshire",31700,424732
"Allentown-Bethlehem-Easton, PA-NJ Metro Area (part); New Jersey",10900,110238
"Atlantic City-Hammonton, NJ Metro Area; New Jersey",12100,369940
"New York-Newark-Jersey City, NY-NJ Metro Area (part); New Jersey",35620,6892890
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area (part); New Jersey",37980,1357745
"Trenton-Princeton, NJ Metro Area; New Jersey",45940,383286
"Vineland, NJ Metro Area; New Jersey",47220,152915
"Alamogordo, NM Micro Area; New Mexico",10460,68235
"Albuquerque, NM Metro Area; New Mexico",10740,918567
"Carlsbad-Artesia, NM Micro Area; New Mexico",16100,61114
"Clovis, NM Micro Area; New Mexico",17580,66934
"Deming, NM Micro Area; New Mexico",19700,25420
"Española, NM Micro Area; New Mexico",21580,40165
"Farmington, NM Metro Area; New Mexico",22140,121178
"Gallup, NM Micro Area; New Mexico",23700,71172
"Hobbs, NM Micro Area; New Mexico",26020,73154
"Las Cruces, NM Metro Area; New Mexico",29740,221665
"Las Vegas, NM Micro Area; New Mexico",29780,31212
"Los Alamos, NM Micro Area; New Mexico",31060,19374
"Roswell, NM Micro Area; New Mexico",40740,64446
"Ruidoso, NM Micro Area; New Mexico",40760,20227
"Santa Fe, NM Metro Area; New Mexico",42140,155175
"Silver City, NM Micro Area; New Mexico",43500,27856
"Taos, NM Micro Area; New Mexico",45340,34516
"Albany-Schenectady-Troy, NY Metro Area; New York",10580,902372
"Amsterdam, NY Micro Area; New York",11220,49461
"Auburn, NY Micro Area; New York",12180,75464
"Batavia, NY Micro Area; New York",12860,57943
"Binghamton, NY Metro Area; New York",13780,245844
"Buffalo-Cheektowaga, NY Metro Area; New York",15380,1161385
"Corning, NY Micro Area; New York",18500,93034
"Cortland, NY Micro Area; New York",18660,46401
"Elmira, NY Metro Area; New York",21300,82805
"Glens Falls, NY Metro Area; New York",24020,126443
"Gloversville, NY Micro Area; New York",24100,52787
"Hudson, NY Micro Area; New York",26460,61245
"Ithaca, NY Metro Area; New York",27060,102879
"Jamestown-Dunkirk, NY Micro Area; New York",27460,126329
"Kingston, NY Metro Area; New York",28740,182109
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area; New York",28880,700984
"Massena-Ogdensburg, NY Micro Area; New York",32390,107796
"Monticello, NY Micro Area; New York",33910,79147
"New York-Newark-Jersey City, NY-NJ Metro Area (part); New York",35620,12863832
"Olean, NY Micro Area; New York",36460,76479
"Oneonta, NY Micro Area; New York",36580,59738
"Plattsburgh, NY Micro Area; New York",38460,78961
"Rochester, NY Metro Area; New York",40380,1058875
"Seneca Falls, NY Micro Area; New York",42900,33125
"Syracuse, NY Metro Area; New York",45060,657128
"Utica-Rome, NY Metro Area; New York",46540,289577
"Watertown-Fort Drum, NY Metro Area; New York",48060,116130
"Albemarle, NC Micro Area; North Carolina",10620,63557
"Anderson Creek, NC Micro Area; North Carolina",11360,136503
"Asheville, NC Metro Area; North Carolina",11700,410817
"Boone, NC Micro Area; North Carolina",14380,54607
"Brevard, NC Micro Area; North Carolina",14820,33243
"Burlington, NC Metro Area; North Carolina",15500,174286
"Charlotte-Concord-Gastonia, NC-SC Metro Area (part); North Carolina",16740,2291177
"Durham-Chapel Hill, NC Metro Area; North Carolina",20500,594291
"Elizabeth City, NC Micro Area; North Carolina",21020,40830
"Fayetteville, NC Metro Area; North Carolina",22180,389851
"Forest City, NC Micro Area; North Carolina",22580,64850
"Goldsboro, NC Metro Area; North Carolina",24140,117606
"Greensboro-High Point, NC Metro Area; North Carolina",24660,779894
"Greenville, NC Metro Area; North Carolina",24780,172279
"Henderson, NC Micro Area; North Carolina",25780,42361
"Hickory-Lenoir-Morganton, NC Metro Area; North Carolina",25860,366972
"Jacksonville, NC Metro Area; North Carolina",27340,208537
"Kill Devil Hills, NC Micro Area; North Carolina",28620,37534
"Kinston, NC Micro Area; North Carolina",28820,54917
"Laurinburg, NC Micro Area; North Carolina",29900,34353
"Lumberton, NC Micro Area; North Carolina",31300,116858
"Marion, NC Micro Area; North Carolina",32000,44679
"Morehead City, NC Micro Area; North Carolina",33980,68652
"Mount Airy, NC Micro Area; North Carolina",34340,71407
"New Bern, NC Micro Area; North Carolina",35100,122634
"North Wilkesboro, NC Micro Area; North Carolina",35900,65983
"Pinehurst-Southern Pines, NC Metro Area; North Carolina",38240,102840
"Raleigh-Cary, NC Metro Area; North Carolina",39580,1449594
"Roanoke Rapids, NC Micro Area; North Carolina",40260,65431
"Rockingham, NC Micro Area; North Carolina",40460,42818
"Rocky Mount, NC Metro Area; North Carolina",40580,144228
"Sanford, NC Micro Area; North Carolina",41820,64565
"Shelby-Kings Mountain, NC Micro Area; North Carolina",43140,100170
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area (part); North Carolina",47260,50792
"Washington, NC Micro Area; North Carolina",47820,44597
"Waynesville, NC Micro Area; North Carolina",48200,62432
"Wilmington, NC Metro Area; North Carolina",48900,440578
"Wilson, NC Micro Area; North Carolina",48980,78648
"Winston-Salem, NC Metro Area; North Carolina",49180,683637
"Bismarck, ND Metro Area; North Dakota",13900,134286
"Dickinson, ND Micro Area; North Dakota",19860,38107
"Fargo, ND-MN Metro Area (part); North Dakota",22020,189286
"Grand Forks, ND-MN Metro Area (part); North Dakota",24220,72764
"Jamestown, ND Micro Area; North Dakota",27420,21525
"Minot, ND Metro Area; North Dakota",33500,76773
"Wahpeton, ND-MN Micro Area (part); North Dakota",47420,16550
"Williston, ND Micro Area; North Dakota",48780,39368
"Akron, OH Metro Area; Ohio",10420,699508
"Ashland, OH Micro Area; Ohio",11740,52296
"Athens, OH Micro Area; Ohio",11900,61573
"Bellefontaine, OH Micro Area; Ohio",13340,46140
"Bucyrus, OH Micro Area; Ohio",15340,41767
"Cambridge, OH Micro Area; Ohio",15740,38283
"Canton-Massillon, OH Metro Area; Ohio",15940,400495
"Celina, OH Micro Area; Ohio",16380,42438
"Chillicothe, OH Micro Area; Ohio",17060,76748
"Cincinnati, OH-KY-IN Metro Area (part); Ohio",17140,1717724
"Cleveland, OH Metro Area; Ohio",17410,2171978
"Columbus, OH Metro Area; Ohio",18140,2151847
"Coshocton, OH Micro Area; Ohio",18740,36679
"Dayton-Kettering-Beavercreek, OH Metro Area; Ohio",19430,813608
"Defiance, OH Micro Area; Ohio",19580,38258
"Findlay, OH Micro Area; Ohio",22300,74885
"Fremont, OH Micro Area; Ohio",23380,58770
"Gallipolis, OH Micro Area; Ohio",23680,29162
"Greenville, OH Micro Area; Ohio",24820,51655
"Huntington-Ashland, WV-KY-OH Metro Area (part); Ohio",26580,57385
"Lima, OH Metro Area; Ohio",30620,101685
"Mansfield, OH Metro Area; Ohio",31900,125138
"Marietta, OH Micro Area; Ohio",31930,59318
"Marion, OH Micro Area; Ohio",32020,65145
"Mount Vernon, OH Micro Area; Ohio",34540,62888
"New Philadelphia-Dover, OH Micro Area; Ohio",35420,92585
"Norwalk, OH Micro Area; Ohio",35940,58412
"Portsmouth, OH Micro Area; Ohio",39020,73118
"Salem, OH Micro Area; Ohio",41400,101203
"Sandusky, OH Metro Area; Ohio",41780,115099
"Sidney, OH Micro Area; Ohio",43380,48007
"Springfield, OH Metro Area; Ohio",44220,135445
"Tiffin, OH Micro Area; Ohio",45660,54861
"Toledo, OH Metro Area; Ohio",45780,602977
"Urbana, OH Micro Area; Ohio",46500,38772
"Van Wert, OH Micro Area; Ohio",46780,28824
"Wapakoneta, OH Micro Area; Ohio",47540,46209
"Washington Court House, OH Micro Area; Ohio",47920,28880
"Weirton-Steubenville, WV-OH Metro Area (part); Ohio",48260,64855
"Wheeling, WV-OH Metro Area (part); Ohio",48540,65982
"Wilmington, OH Micro Area; Ohio",48940,42014
"Wooster, OH Micro Area; Ohio",49300,116618
"Youngstown-Warren, OH Metro Area; Ohio",49660,428430
"Zanesville, OH Micro Area; Ohio",49780,86382
"Ada, OK Micro Area; Oklahoma",10220,38158
"Altus, OK Micro Area; Oklahoma",11060,24730
"Ardmore, OK Micro Area; Oklahoma",11620,48255
"Bartlesville, OK Micro Area; Oklahoma",12780,52895
"Duncan, OK Micro Area; Oklahoma",20340,43314
"Durant, OK Micro Area; Oklahoma",20460,47237
"Elk City, OK Micro Area; Oklahoma",21120,22202
"Enid, OK Metro Area; Oklahoma",21420,62322
"Fort Smith, AR-OK Metro Area (part); Oklahoma",22900,39676
"Guymon, OK Micro Area; Oklahoma",25100,20880
"Lawton, OK Metro Area; Oklahoma",30020,127174
"McAlester, OK Micro Area; Oklahoma",32540,43629
"Miami, OK Micro Area; Oklahoma",33060,30360
"Muskogee, OK Micro Area; Oklahoma",34780,66471
"Oklahoma City, OK Metro Area; Oklahoma",36420,1445122
"Ponca City, OK Micro Area; Oklahoma",38620,43731
"Shawnee, OK Micro Area; Oklahoma",43060,73011
"Stillwater, OK Micro Area; Oklahoma",44660,82290
"Tahlequah, OK Micro Area; Oklahoma",45140,47621
"Tulsa, OK Metro Area; Oklahoma",46140,1026209
"Weatherford, OK Micro Area; Oklahoma",48220,39189
"Woodward, OK Micro Area; Oklahoma",49260,20260
"Albany, OR Metro Area; Oregon",10540,129794
"Astoria, OR Micro Area; Oregon",11820,41343
"Baker City, OR Micro Area; Oregon",12520,16796
"Bend, OR Metro Area; Oregon",13460,253650
"Brookings, OR Micro Area; Oregon",15060,23463
"Coos Bay-North Bend, OR Micro Area; Oregon",18300,64832
"Corvallis, OR Metro Area; Oregon",18700,96359
"Eugene-Springfield, OR Metro Area; Oregon",21660,382628
"Grants Pass, OR Metro Area; Oregon",24420,88069
"Hermiston-Pendleton, OR Micro Area; Oregon",25840,92336
"Hood River, OR Micro Area; Oregon",26220,23958
"Klamath Falls, OR Micro Area; Oregon",28900,69812
"La Grande, OR Micro Area; Oregon",29260,26192
"Medford, OR Metro Area; Oregon",32780,222563
"Newport, OR Micro Area; Oregon",35440,50632
"Ontario, OR-ID Micro Area (part); Oregon",36620,31701
"Portland-Vancouver-Hillsboro, OR-WA Metro Area (part); Oregon",38900,1987737
"Roseburg, OR Micro Area; Oregon",40700,111807
"Salem, OR Metro Area; Oregon",41420,435085
"The Dalles, OR Micro Area; Oregon",45520,26603
"Allentown-Bethlehem-Easton, PA-NJ Metro Area (part); Pennsylvania",10900,756526
"Altoona, PA Metro Area; Pennsylvania",11020,121854
"Bloomsburg-Berwick, PA Micro Area; Pennsylvania",14100,65055
"Bradford, PA Micro Area; Pennsylvania",14620,40149
"Chambersburg, PA Metro Area; Pennsylvania",16540,156626
"DuBois, PA Micro Area; Pennsylvania",20180,78902
"East Stroudsburg, PA Micro Area; Pennsylvania",20700,167784
"Erie, PA Metro Area; Pennsylvania",21500,269544
"Gettysburg, PA Metro Area; Pennsylvania",23900,105183
"Harrisburg-Carlisle, PA Metro Area; Pennsylvania",25420,597894
"Hemlock Farms, PA Micro Area; Pennsylvania",25770,59691
"Hermitage, PA Micro Area; Pennsylvania",25850,109852
"Huntingdon, PA Micro Area; Pennsylvania",26500,43844
"Indiana, PA Micro Area; Pennsylvania",26860,83213
"Johnstown, PA Metro Area; Pennsylvania",27780,132355
"Lancaster, PA Metro Area; Pennsylvania",29540,555151
"Lebanon, PA Metro Area; Pennsylvania",30140,143592
"Lewisburg, PA Micro Area; Pennsylvania",30260,42570
"Lewistown, PA Micro Area; Pennsylvania",30380,46074
"Lock Haven, PA Micro Area; Pennsylvania",30820,37707
"Meadville, PA Micro Area; Pennsylvania",32740,83189
"Oil City, PA Micro Area; Pennsylvania",36340,50096
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area (part); Pennsylvania",37980,4206741
"Pittsburgh, PA Metro Area; Pennsylvania",38300,2443921
"Pottsville, PA Micro Area; Pennsylvania",39060,143259
"Reading, PA Metro Area; Pennsylvania",39740,429989
"St. Marys, PA Micro Area; Pennsylvania",41260,30703
"Sayre, PA Micro Area; Pennsylvania",42380,59971
"Scranton--Wilkes-Barre, PA Metro Area; Pennsylvania",42540,567887
"Selinsgrove, PA Micro Area; Pennsylvania",42780,39711
"Somerset, PA Micro Area; Pennsylvania",43740,73255
"State College, PA Metro Area; Pennsylvania",44300,158041
"Sunbury, PA Micro Area; Pennsylvania",44980,109004
"Warren, PA Micro Area; Pennsylvania",47620,38174
"Williamsport, PA Metro Area; Pennsylvania",48700,113570
"York-Hanover, PA Metro Area; Pennsylvania",49620,459312
"Providence-Warwick, RI-MA Metro Area (part); Rhode Island",39300,1095371
"Augusta-Richmond County, GA-SC Metro Area (part); South Carolina",12260,198457
"Charleston-North Charleston, SC Metro Area; South Carolina",16700,817756
"Charlotte-Concord-Gastonia, NC-SC Metro Area (part); South Carolina",16740,421641
"Columbia, SC Metro Area; South Carolina",17900,839868
"Florence, SC Metro Area; South Carolina",22500,199675
"Gaffney, SC Micro Area; South Carolina",23500,56299
"Greenville-Anderson-Greer, SC Metro Area; South Carolina",24860,945301
"Greenwood, SC Micro Area; South Carolina",24940,93681
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area; South Carolina",25940,222781
"Murrells Inlet, SC Micro Area; South Carolina",34680,64200
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area; South Carolina",34820,368937
"Newberry, SC Micro Area; South Carolina",35140,38121
"Orangeburg, SC Micro Area; South Carolina",36700,83531
"Seneca, SC Micro Area; South Carolina",42860,79566
"Spartanburg, SC Metro Area; South Carolina",43900,365086
"Sumter, SC Metro Area; South Carolina",44940,104853
"Aberdeen, SD Micro Area; South Dakota",10100,42112
"Brookings, SD Micro Area; South Dakota",15100,34968
"Huron, SD Micro Area; South Dakota",26700,19279
"Mitchell, SD Micro Area; South Dakota",33580,25779
"Pierre, SD Micro Area; South Dakota",38180,20744
"Rapid City, SD Metro Area; South Dakota",39660,151064
"Sioux City, IA-NE-SD Metro Area (part); South Dakota",43580,16916
"Sioux Falls, SD-MN Metro Area (part); South Dakota",43620,283479
"Spearfish, SD Micro Area; South Dakota",43940,26574
"Vermillion, SD Micro Area; South Dakota",46820,15133
"Watertown, SD Micro Area; South Dakota",47980,28556
"Yankton, SD Micro Area; South Dakota",49460,23379
"Athens, TN Micro Area; Tennessee",11940,67211
"Chattanooga, TN-GA Metro Area (part); Tennessee",16860,416332
"Clarksville, TN-KY Metro Area (part); Tennessee",17300,241816
"Cleveland, TN Metro Area; Tennessee",17420,127445
"Cookeville, TN Micro Area; Tennessee",18260,143819
"Crossville, TN Micro Area; Tennessee",18900,62529
"Dyersburg, TN Micro Area; Tennessee",20540,36681
"Fayetteville, TN Micro Area; Tennessee",22190,35617
"Greeneville, TN Micro Area; Tennessee",24620,70919
"Jackson, TN Metro Area; Tennessee",27180,180844
"Johnson City, TN Metro Area; Tennessee",27740,208934
"Kingsport-Bristol, TN-VA Metro Area (part); Tennessee",28700,217139
"Knoxville, TN Metro Area; Tennessee",28940,919553
"Lawrenceburg, TN Micro Area; Tennessee",29980,44901
"Lewisburg, TN Micro Area; Tennessee",30280,35276
"Martin, TN Micro Area; Tennessee",32280,32959
"McMinnville, TN Micro Area; Tennessee",32660,41587
"Memphis, TN-MS-AR Metro Area (part); Tennessee",32820,1026187
"Morristown, TN Metro Area; Tennessee",34100,120765
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area; Tennessee",34980,2043713
"Newport, TN Micro Area; Tennessee",35460,36503
"Paris, TN Micro Area; Tennessee",37540,32345
"Sevierville, TN Micro Area; Tennessee",42940,98802
"Shelbyville, TN Micro Area; Tennessee",43180,51291
"Tullahoma-Manchester, TN Micro Area; Tennessee",46100,65551
"Union City, TN Micro Area; Tennessee",46460,30570
"Winchester, TN Micro Area; Tennessee",49010,43478
"Abilene, TX Metro Area; Texas",10180,178244
"Alice, TX Micro Area; Texas",10860,45850
"Amarillo, TX Metro Area; Texas",11100,270207
"Andrews, TX Micro Area; Texas",11380,18518
"Athens, TX Micro Area; Texas",11980,83658
"Austin-Round Rock-San Marcos, TX Metro Area; Texas",12420,2357497
"Bay City, TX Micro Area; Texas",13060,36274
"Beaumont-Port Arthur, TX Metro Area; Texas",13140,396058
"Beeville, TX Micro Area; Texas",13300,31000
"Big Spring, TX Micro Area; Texas",13700,33127
"Bonham, TX Micro Area; Texas",14300,36525
"Borger, TX Micro Area; Texas",14420,20413
"Brenham, TX Micro Area; Texas",14780,36156
"Brownsville-Harlingen, TX Metro Area; Texas",15180,423192
"Brownwood, TX Micro Area; Texas",15220,38294
"College Station-Bryan, TX Metro Area; Texas",17780,273280
"Corpus Christi, TX Metro Area; Texas",18580,446797
"Corsicana, TX Micro Area; Texas",18620,53735
"Dallas-Fort Worth-Arlington, TX Metro Area; Texas",19100,7807555
"Del Rio, TX Micro Area; Texas",19620,47647
"Dumas, TX Micro Area; Texas",20300,21234
"Eagle Pass, TX Metro Area; Texas",20580,57770
"El Campo, TX Micro Area; Texas",20900,41651
"El Paso, TX Metro Area; Texas",21340,869606
"Fredericksburg, TX Micro Area; Texas",23240,27202
"Gainesville, TX Micro Area; Texas",23620,42473
"Granbury, TX Micro Area; Texas",24180,64198
"Hereford, TX Micro Area; Texas",25820,18487
"Houston-Pasadena-The Woodlands, TX Metro Area; Texas",26420,7274714
"Huntsville, TX Micro Area; Texas",26660,78292
"Jacksonville, TX Micro Area; Texas",27380,51143
"Kerrville, TX Micro Area; Texas",28500,53166
"Killeen-Temple, TX Metro Area; Texas",28660,485850
"Kingsville, TX Micro Area; Texas",28780,30629
"Laredo, TX Metro Area; Texas",29700,267731
"Longview, TX Metro Area; Texas",30980,288921
"Lubbock, TX Metro Area; Texas",31180,354782
"Lufkin, TX Micro Area; Texas",31260,86791
"McAllen-Edinburg-Mission, TX Metro Area; Texas",32580,880921
"Midland, TX Metro Area; Texas",33260,176726
"Mineral Wells, TX Micro Area; Texas",33420,28920
"Mount Pleasant, TX Micro Area; Texas",34420,55950
"Nacogdoches, TX Micro Area; Texas",34860,64897
"Odessa, TX Metro Area; Texas",36220,163206
"Palestine, TX Micro Area; Texas",37300,57825
"Pampa, TX Micro Area; Texas",37420,21916
"Paris, TX Micro Area; Texas",37580,62042
"Plainview, TX Micro Area; Texas",38380,37541
"Port Lavaca, TX Micro Area; Texas",38920,19921
"Raymondville, TX Micro Area; Texas",39700,20218
"Rio Grande City-Roma, TX Micro Area; Texas",40100,65809
"San Angelo, TX Metro Area; Texas",41660,120830
"San Antonio-New Braunfels, TX Metro Area; Texas",41700,2612802
"Sherman-Denison, TX Metro Area; Texas",43300,139988
"Snyder, TX Micro Area; Texas",43660,16633
"Stephenville, TX Micro Area; Texas",44500,43244
"Sulphur Springs, TX Micro Area; Texas",44860,37351
"Sweetwater, TX Micro Area; Texas",45020,14565
"Texarkana, TX-AR Metro Area (part); Texas",45500,92321
"Town of Pecos, TX Micro Area; Texas",45880,13219
"Tyler, TX Metro Area; Texas",46340,238014
"Uvalde, TX Micro Area; Texas",46620,24810
"Vernon, TX Micro Area; Texas",46900,12712
"Victoria, TX Metro Area; Texas",47020,98377
"Waco, TX Metro Area; Texas",47380,299217
"Wichita Falls, TX Metro Area; Texas",48660,148978
"Zapata, TX Micro Area; Texas",49820,13855
"Brigham City, UT-ID Micro Area (part); Utah",14940,59725
"Cedar City, UT Micro Area; Utah",16260,60201
"Evanston, WY-UT Micro Area (part); Utah",21740,2588
"Heber, UT Micro Area; Utah",25720,78517
"Logan, UT-ID Metro Area (part); Utah",30860,137031
"Ogden, UT Metro Area; Utah",36260,645510
"Price, UT Micro Area; Utah",39220,20446
"Provo-Orem-Lehi, UT Metro Area; Utah",39340,695895
"St. George, UT Metro Area; Utah",41100,189827
"Salt Lake City-Murray, UT Metro Area; Utah",41620,1261337
"Vernal, UT Micro Area; Utah",46860,36458
"Barre, VT Micro Area; Vermont",12740,59958
"Bennington, VT Micro Area; Vermont",13540,37312
"Brattleboro, VT Micro Area; Vermont",14710,45913
"Burlington-South Burlington, VT Metro Area; Vermont",15540,226603
"Lebanon-Claremont, NH-VT Micro Area (part); Vermont",30150,87562
"Rutland, VT Micro Area; Vermont",40860,60484
"Blacksburg-Christiansburg-Radford, VA Metro Area; Virginia",13980,181605
"Bluefield, WV-VA Micro Area (part); Virginia",14140,39933
"Charlottesville, VA Metro Area; Virginia",16820,222937
"Danville, VA Micro Area; Virginia",19260,102387
"Harrisonburg, VA Metro Area; Virginia",25500,136231
"Kingsport-Bristol, TN-VA Metro Area (part); Virginia",28700,92441
"Lake of the Woods, VA Micro Area; Virginia",29470,37208
"Lynchburg, VA Metro Area; Virginia",31340,262716
"Martinsville, VA Micro Area; Virginia",32300,63949
"Richmond, VA Metro Area; Virginia",40060,1327321
"Roanoke, VA Metro Area; Virginia",40220,314661
"Staunton-Stuarts Draft, VA Metro Area; Virginia",44420,126052
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area (part); Virginia",47260,1731798
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area (part); Virginia",47900,3070950
"Winchester, VA-WV Metro Area (part); Virginia",49020,121336
"Aberdeen, WA Micro Area; Washington",10140,76397
"Bellingham, WA Metro Area; Washington",13380,228432
"Bremerton-Silverdale-Port Orchard, WA Metro Area; Washington",14740,276581
"Centralia, WA Micro Area; Washington",16500,83925
"Ellensburg, WA Micro Area; Washington",21260,44736
"Kennewick-Richland, WA Metro Area; Washington",28420,307900
"Lewiston, ID-WA Metro Area (part); Washington",30300,22424
"Longview-Kelso, WA Metro Area; Washington",31020,111539
"Moses Lake, WA Micro Area; Washington",34180,100428
"Mount Vernon-Anacortes, WA Metro Area; Washington",34580,130407
"Oak Harbor, WA Micro Area; Washington",36020,86747
"Olympia-Lacey-Tumwater, WA Metro Area; Washington",36500,296640
"Othello, WA Micro Area; Washington",36830,20690
"Port Angeles, WA Micro Area; Washington",38820,77593
"Portland-Vancouver-Hillsboro, OR-WA Metro Area (part); Washington",38900,522792
"Port Townsend, WA Micro Area; Washington",39040,33313
"Pullman, WA Micro Area; Washington",39420,47042
"Seattle-Tacoma-Bellevue, WA Metro Area; Washington",42660,4021467
"Shelton, WA Micro Area; Washington",43220,66968
"Spokane-Spokane Valley, WA Metro Area; Washington",44060,591793
"Walla Walla, WA Metro Area; Washington",47460,62102
"Wenatchee-East Wenatchee, WA Metro Area; Washington",48300,123251
"Yakima, WA Metro Area; Washington",49420,256605
"Beckley, WV Metro Area; West Virginia",13220,113653
"Bluefield, WV-VA Micro Area (part); West Virginia",14140,59062
"Charleston, WV Metro Area; West Virginia",16620,207456
"Clarksburg, WV Micro Area; West Virginia",17220,89717
"Cumberland, MD-WV Micro Area (part); West Virginia",19060,26922
"Elkins, WV Micro Area; West Virginia",21180,27782
"Fairmont, WV Micro Area; West Virginia",21900,56042
"Hagerstown-Martinsburg, MD-WV Metro Area (part); West Virginia",25180,143492
"Huntington-Ashland, WV-KY-OH Metro Area (part); West Virginia",26580,189048
"Morgantown, WV Metro Area; West Virginia",34060,140724
"Parkersburg-Vienna, WV Metro Area; West Virginia",37620,88960
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area (part); West Virginia",47900,58546
"Weirton-Steubenville, WV-OH Metro Area (part); West Virginia",48260,50711
"Wheeling, WV-OH Metro Area (part); West Virginia",48540,72033
"Winchester, VA-WV Metro Area (part); West Virginia",49020,23340
"Appleton, WI Metro Area; Wisconsin",11540,244163
"Baraboo, WI Micro Area; Wisconsin",12660,65759
"Beaver Dam, WI Micro Area; Wisconsin",13180,88818
"Duluth, MN-WI Metro Area (part); Wisconsin",20260,44197
"Eau Claire, WI Metro Area; Wisconsin",20740,172886
"Fond du Lac, WI Metro Area; Wisconsin",22540,104053
"Green Bay, WI Metro Area; Wisconsin",24580,329375
"Iron Mountain, MI-WI Micro Area (part); Wisconsin",27020,4617
"Janesville-Beloit, WI Metro Area; Wisconsin",27500,163944
"Kenosha, WI Metro Area; Wisconsin",28450,168413
"La Crosse-Onalaska, WI-MN Metro Area (part); Wisconsin",29100,151177
"Madison, WI Metro Area; Wisconsin",31540,683967
"Manitowoc, WI Micro Area; Wisconsin",31820,81314
"Marinette, WI-MI Micro Area (part); Wisconsin",31940,41907
"Menomonie, WI Micro Area; Wisconsin",32860,45349
"Milwaukee-Waukesha, WI Metro Area; Wisconsin",33340,1566361
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area (part); Wisconsin",33460,137170
"Oshkosh-Neenah, WI Metro Area; Wisconsin",36780,171357
"Platteville, WI Micro Area; Wisconsin",38420,51678
"Racine-Mount Pleasant, WI Metro Area; Wisconsin",39540,196888
"Rice Lake, WI Micro Area; Wisconsin",39960,46741
"Shawano, WI Micro Area; Wisconsin",43020,45183
"Sheboygan, WI Metro Area; Wisconsin",43100,117783
"Sparta, WI Micro Area; Wisconsin",43890,46169
"Stevens Point-Plover, WI Micro Area; Wisconsin",44620,70375
"Watertown-Fort Atkinson, WI Micro Area; Wisconsin",48020,85867
"Wausau, WI Metro Area; Wisconsin",48140,138067
"Whitewater-Elkhorn, WI Micro Area; Wisconsin",48580,105447
"Wisconsin Rapids-Marshfield, WI Micro Area; Wisconsin",49220,74039
