msa_title,msa,pop
"Bridgeport-Stamford-Danbury, CT Metro Area; Connecticut",14860,947528
"Hartford-West Hartford-East Hartford, CT Metro Area; Connecticut",25540,1144012
"New Haven, CT Metro Area; Connecticut",35300,566803
"Norwich-New London-Willimantic, CT Metro Area; Connecticut",35980,279025
"Putnam, CT Micro Area; Connecticut",39480,95829
"Torrington, CT Micro Area; Connecticut",45860,112848
"Waterbury-Shelton, CT Metro Area; Connecticut",47930,452303
"Dover, DE Metro Area; Delaware",20100,185043
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area (part); Delaware",37980,573030
"Seaford, DE Micro Area; Delaware",42580,247799
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area (part); District of Columbia",47900,672079
"Arcadia, FL Micro Area; Florida",11580,34719
"Cape Coral-Fort Myers, FL Metro Area; Florida",15980,792692
"Clewiston, FL Micro Area; Florida",17500,53122
"Crestview-Fort Walton Beach-Destin, FL Metro Area; Florida",18880,294127
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area; Florida",19660,689939
"Gainesville, FL Metro Area; Florida",23540,344521
"Homosassa Springs, FL Metro Area; Florida",26140,158693
"Jacksonville, FL Metro Area; Florida",27260,1645707
"Key West-Key Largo, FL Micro Area; Florida",28580,81840
"Lake City, FL Micro Area; Florida",29380,70755
"Lakeland-Winter Haven, FL Metro Area; Florida",29460,760961
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area; Florida",33100,6138876
"Naples-Marco Island, FL Metro Area; Florida",34940,387681
"North Port-Bradenton-Sarasota, FL Metro Area; Florida",35840,865031
"Ocala, FL Metro Area; Florida",36100,387697
"Okeechobee, FL Micro Area; Florida",36380,40249
"Orlando-Kissimmee-Sanford, FL Metro Area; Florida",36740,2721022
"Palatka, FL Micro Area; Florida",37260,74235
"Palm Bay-Melbourne-Titusville, FL Metro Area; Florida",37340,620533
"Panama City-Panama City Beach, FL Metro Area; Florida",37460,206627
"Pensacola-Ferry Pass-Brent, FL Metro Area; Florida",37860,516994
"Port St. Lucie, FL Metro Area; Florida",38940,506701
"Punta Gorda, FL Metro Area; Florida",39460,195083
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area; Florida",42680,163856
"Sebring, FL Metro Area; Florida",42700,103808
"Tallahassee, FL Metro Area; Florida",45220,388298
"Tampa-St. Petersburg-Clearwater, FL Metro Area; Florida",45300,3240469
"Wildwood-The Villages, FL Metro Area; Florida",48680,137536
"Albany, GA Metro Area; Georgia",10500,146768
"Americus, GA Micro Area; Georgia",11140,33713
"Athens-Clarke County, GA Metro Area; Georgia",12020,218190
"Atlanta-Sandy Springs-Roswell, GA Metro Area; Georgia",12060,6176937
"Augusta-Richmond County, GA-SC Metro Area (part); Georgia",12260,419565
"Bainbridge, GA Micro Area; Georgia",12460,29118
"Brunswick-St. Simons, GA Metro Area; Georgia",15260,114345
"Calhoun, GA Micro Area; Georgia",15660,58336
"Cedartown, GA Micro Area; Georgia",16340,43365
"Chattanooga, TN-GA Metro Area (part); Georgia",16860,153001
"Columbus, GA-AL Metro Area (part); Georgia",17980,267278
"Cordele, GA Micro Area; Georgia",18380,19995
"Cornelia, GA Micro Area; Georgia",18460,46948
"Dalton, GA Metro Area; Georgia",19140,143400
"Douglas, GA Micro Area; Georgia",20060,51422
"Dublin, GA Micro Area; Georgia",20140,58811
"Eufaula, AL-GA Micro Area (part); Georgia",21640,2092
"Fitzgerald, GA Micro Area; Georgia",22340,17138
"Gainesville, GA Metro Area; Georgia",23580,208395
"Hinesville, GA Metro Area; Georgia",25980,84338
"Jefferson, GA Micro Area; Georgia",27600,80640
"Jesup, GA Micro Area; Georgia",27700,30519
"Kingsland, GA Micro Area; Georgia",28680,56036
"LaGrange, GA-AL Micro Area (part); Georgia",29300,69821
"Macon-Bibb County, GA Metro Area; Georgia",31420,234040
"Milledgeville, GA Micro Area; Georgia",33300,43669
"Moultrie, GA Micro Area; Georgia",34220,45907
"Rome, GA Metro Area; Georgia",40660,98985
"Savannah, GA Metro Area; Georgia",42340,412089
"Statesboro, GA Micro Area; Georgia",44340,92112
"Summerville, GA Micro Area; Georgia",44900,24975
"Thomaston, GA Micro Area; Georgia",45580,27856
"Thomasville, GA Micro Area; Georgia",45620,71752
"Tifton, GA Micro Area; Georgia",45700,50237
"Toccoa, GA Micro Area; Georgia",45740,26842
"Valdosta, GA Metro Area; Georgia",46660,149139
"Vidalia, GA Micro Area; Georgia",47080,35618
"Warner Robins, GA Metro Area; Georgia",47580,195171
"Waycross, GA Micro Area; Georgia",48180,55954
"Hilo-Kailua, HI Micro Area; Hawaii",25900,203684
"Kahului-Wailuku, HI Metro Area; Hawaii",27980,164675
"Kapaa, HI Micro Area; Hawaii",28180,73610
"Urban Honolulu, HI Metro Area; Hawaii",46520,1003666
"Blackfoot, ID Micro Area; Idaho",13940,48993
"Boise City, ID Metro Area; Idaho",14260,790640
"Brigham City, UT-ID Micro Area (part); Idaho",14940,4681
"Burley, ID Micro Area; Idaho",15420,47087
"Coeur d'Alene, ID Metro Area; Idaho",17660,177736
"Hailey, ID Micro Area; Idaho",25200,31010
"Idaho Falls, ID Metro Area; Idaho",26820,161944
"Jackson, WY-ID Micro Area (part); Idaho",27220,12101
"Lewiston, ID-WA Metro Area (part); Idaho",30300,42477
"Logan, UT-ID Metro Area (part); Idaho",30860,14715
"Moscow, ID Micro Area; Idaho",34140,40315
"Mountain Home, ID Micro Area; Idaho",34300,29046
"Ontario, OR-ID Micro Area (part); Idaho",36620,26190
"Pocatello, ID Metro Area; Idaho",38540,88457
"Rexburg, ID Micro Area; Idaho",39940,67279
"Sandpoint, ID Micro Area; Idaho",41760,49456
"Twin Falls, ID Metro Area; Idaho",46300,116909
"Bloomington, IL Metro Area; Illinois",14010,170882
"Burlington, IA-IL Micro Area (part); Illinois",15460,6284
"Canton, IL Micro Area; Illinois",15900,33259
"Cape Girardeau, MO-IL Metro Area (part); Illinois",16020,5042
"Carbondale, IL Micro Area; Illinois",16060,52706
"Centralia, IL Micro Area; Illinois",16460,37294
"Champaign-Urbana, IL Metro Area; Illinois",16580,236196
"Charleston-Mattoon, IL Micro Area; Illinois",16660,46689
"Chicago-Naperville-Elgin, IL-IN Metro Area (part); Illinois",16980,8639358
"Danville, IL Micro Area; Illinois",19180,73179
"Davenport-Moline-Rock Island, IA-IL Metro Area (part); Illinois",19340,207562
"Decatur, IL Metro Area; Illinois",19500,102591
"Dixon, IL Micro Area; Illinois",19940,34058
"Effingham, IL Micro Area; Illinois",20820,44883
"Freeport, IL Micro Area; Illinois",23300,44042
"Galesburg, IL Micro Area; Illinois",23660,49294
"Jacksonville, IL Micro Area; Illinois",27300,37468
"Kankakee, IL Metro Area; Illinois",28100,106833
"Lincoln, IL Micro Area; Illinois",30660,27870
"Macomb, IL Micro Area; Illinois",31380,27102
"Marion-Herrin, IL Micro Area; Illinois",32060,66902
"Mount Vernon, IL Micro Area; Illinois",34500,36808
