,cbsacode,countyfips,msa,pop
279,41180,29099,41180,2806349
280,28140,29107,28140,2144129
281,41180,29113,41180,2806349
282,28140,29165,28140,2144129
283,28140,29177,28140,2144129
284,41180,29183,41180,2806349
285,41180,29189,41180,2806349
286,41180,29219,41180,2806349
287,41180,29510,41180,2806349
288,36540,31025,36540,940163
289,36540,31055,36540,940163
290,36540,31153,36540,940163
291,36540,31155,36540,940163
292,36540,31177,36540,940163
293,29820,32003,29820,2228866
294,14460,33015,14460,4854808
295,14460,33017,14460,4854808
296,35620,34003,35620,19261570
297,37980,34005,37980,6092403
298,37980,34007,37980,6092403
299,35620,34013,35620,19261570
300,37980,34015,37980,6092403
301,35620,34017,35620,19261570
302,35620,34019,35620,19261570
303,35620,34023,35620,19261570
304,35620,34025,35620,19261570
305,35620,34027,35620,19261570
306,35620,34029,35620,19261570
307,35620,34031,35620,19261570
308,37980,34033,37980,6092403
309,35620,34035,35620,19261570
310,35620,34037,35620,19261570
311,35620,34039,35620,19261570
312,10900,34041,10900,841265
313,10740,35001,10740,915986
314,10740,35043,10740,915986
315,10740,35057,10740,915986
316,10740,35061,10740,915986
317,10580,36001,10580,880766
318,35620,36005,35620,19261570
319,35620,36027,35620,19261570
320,15380,36029,15380,1129018
321,35620,36047,35620,19261570
322,40380,36051,40380,1071784
323,45060,36053,45060,650211
324,40380,36055,40380,1071784
325,35620,36059,35620,19261570
326,35620,36061,35620,19261570
327,15380,36063,15380,1129018
328,45060,36067,45060,650211
329,40380,36069,40380,1071784
330,35620,36071,35620,19261570
331,40380,36073,40380,1071784
332,45060,36075,45060,650211
333,35620,36079,35620,19261570
334,35620,36081,35620,19261570
335,10580,36083,10580,880766
336,35620,36085,35620,19261570
337,35620,36087,35620,19261570
338,10580,36091,10580,880766
339,10580,36093,10580,880766
340,10580,36095,10580,880766
341,35620,36103,35620,19261570
342,40380,36117,40380,1071784
343,35620,36119,35620,19261570
344,40380,36123,40380,1071784
345,16740,37025,16740,2595027
346,20500,37037,20500,636256
347,47260,37053,47260,1768956
348,49180,37057,49180,671156
349,49180,37059,49180,671156
350,20500,37063,20500,636256
351,49180,37067,49180,671156
352,39580,37069,39580,1362997
353,16740,37071,16740,2595027
354,47260,37073,47260,1768956
355,24660,37081,24660,767467
356,16740,37097,16740,2595027
357,39580,37101,39580,1362997
358,16740,37109,16740,2595027
359,16740,37119,16740,2595027
360,20500,37135,20500,636256
361,20500,37145,20500,636256
362,24660,37151,24660,767467
363,24660,37157,24660,767467
364,16740,37159,16740,2595027
365,49180,37169,49180,671156
366,16740,37179,16740,2595027
367,39580,37183,39580,1362997
368,49180,37197,49180,671156
369,17140,39015,17140,2214265
370,17140,39017,17140,2214265
371,17140,39025,17140,2214265
372,17460,39035,17460,2053137
373,18140,39041,18140,2101543
374,18140,39045,18140,2101543
375,18140,39049,18140,2101543
376,45780,39051,45780,643724
377,17460,39055,17460,2053137
378,17140,39061,17140,2214265
379,18140,39073,18140,2101543
380,17460,39085,17460,2053137
381,18140,39089,18140,2101543
382,17460,39093,17460,2053137
383,45780,39095,45780,643724
384,18140,39097,18140,2101543
385,17460,39103,17460,2053137
386,18140,39117,18140,2101543
387,18140,39127,18140,2101543
388,18140,39129,18140,2101543
389,10420,39133,10420,703286
390,10420,39153,10420,703286
391,18140,39159,18140,2101543
392,17140,39165,17140,2214265
393,45780,39173,45780,643724
394,36420,40017,36420,1397040
395,36420,40027,36420,1397040
396,46140,40037,46140,996141
397,36420,40051,36420,1397040
398,36420,40081,36420,1397040
399,36420,40083,36420,1397040
400,36420,40087,36420,1397040
401,36420,40109,36420,1397040
402,46140,40111,46140,996141
403,46140,40113,46140,996141
404,46140,40117,46140,996141
405,46140,40131,46140,996141
406,46140,40143,46140,996141
407,46140,40145,46140,996141
408,38900,41005,38900,2472774
409,38900,41009,38900,2472774
410,38900,41051,38900,2472774
