msa,pop
16180,58364
21220,55512
21980,25614
23820,49624
29820,2293764
37220,53207
39900,556539
49080,17299
14460,448906
18180,155018
28300,76945
29060,64300
30150,135288
31700,424732
10900,110238
12100,369940
35620,6892890
37980,1357745
45940,383286
47220,152915
10460,68235
10740,918567
16100,61114
17580,66934
19700,25420
21580,40165
22140,121178
23700,71172
26020,73154
29740,221665
29780,31212
31060,19374
40740,64446
40760,20227
42140,155175
43500,27856
45340,34516
10580,902372
11220,49461
12180,75464
12860,57943
13780,245844
15380,1161385
18500,93034
18660,46401
21300,82805
24020,126443
24100,52787
26460,61245
27060,102879
27460,126329
28740,182109
28880,700984
32390,107796
33910,79147
35620,12863832
36460,76479
36580,59738
38460,78961
40380,1058875
42900,33125
45060,657128
46540,289577
48060,116130
10620,63557
11360,136503
11700,410817
14380,54607
14820,33243
15500,174286
16740,2291177
20500,594291
21020,40830
22180,389851
22580,64850
24140,117606
24660,779894
24780,172279
25780,42361
25860,366972
27340,208537
28620,37534
28820,54917
29900,34353
31300,116858
32000,44679
33980,68652
34340,71407
35100,122634
35900,65983
38240,102840
39580,1449594
40260,65431
40460,42818
40580,144228
41820,64565
43140,100170
47260,50792
47820,44597
48200,62432
48900,440578
48980,78648
49180,683637
13900,134286
19860,38107
22020,189286
24220,72764
27420,21525
33500,76773
47420,16550
48780,39368
10420,699508
11740,52296
11900,61573
13340,46140
15340,41767
15740,38283
15940,400495
16380,42438
17060,76748
17140,1717724
17410,2171978
18140,2151847
18740,36679
19430,813608
19580,38258
22300,74885
23380,58770
23680,29162
24820,51655
26580,57385
30620,101685
31900,125138
31930,59318
32020,65145
34540,62888
35420,92585
35940,58412
39020,73118
41400,101203
41780,115099
43380,48007
44220,135445
45660,54861
45780,602977
46500,38772
46780,28824
47540,46209
47920,28880
48260,64855
48540,65982
48940,42014
49300,116618
49660,428430
49780,86382
10220,38158
11060,24730
11620,48255
12780,52895
20340,43314
20460,47237
21120,22202
21420,62322
22900,39676
25100,20880
30020,127174
32540,43629
33060,30360
34780,66471
36420,1445122
38620,43731
43060,73011
44660,82290
45140,47621
46140,1026209
48220,39189
49260,20260
10540,129794
11820,41343
12520,16796
13460,253650
15060,23463
18300,64832
18700,96359
21660,382628
24420,88069
25840,92336
26220,23958
28900,69812
29260,26192
32780,222563
35440,50632
36620,31701
38900,1987737
40700,111807
41420,435085
45520,26603
10900,756526
11020,121854
14100,65055
14620,40149
16540,156626
20180,78902
20700,167784
21500,269544
23900,105183
25420,597894
25770,59691
25850,109852
26500,43844
26860,83213
27780,132355
29540,555151
30140,143592
30260,42570
30380,46074
30820,37707
32740,83189
